suhu,curah_hujan,kelembaban,ph_tanah,nitrogen,fosfor,kalium,hasil_panen
27.2,388.0,78.6,6.21,44.5,16.7,110.9,2.379
30.2,200.3,64.2,6.36,41.5,44.3,86.1,2.23
32.5,860.0,68.3,7.46,49.5,43.1,180.9,2.984
28.2,624.5,72.8,5.8,37.6,52.1,125.6,2.601
32.9,494.7,67.5,6.5,42.4,20.9,112.9,2.787
23.9,927.1,86.1,6.59,61.5,26.6,38.9,2.359
22.9,811.0,74.9,6.83,36.3,5.4,38.5,2.341
27.8,609.0,77.3,6.44,12.9,24.1,101.7,2.197
29.2,429.9,76.6,6.52,80.0,44.9,95.8,2.474
27.9,968.1,81.7,6.24,72.6,23.0,65.4,3.203
21.8,912.6,71.8,6.51,19.2,39.6,95.6,2.458
27.7,725.2,57.0,6.26,58.8,27.1,153.5,2.068
24.1,1211.7,74.0,6.65,34.9,34.9,117.8,2.971
30.0,482.5,63.5,6.25,50.3,12.8,44.4,2.524
29.1,368.6,64.7,6.55,50.9,31.3,85.5,2.346
25.2,577.0,75.9,6.39,40.3,2.0,57.8,2.356
26.5,738.6,82.4,6.85,29.3,27.2,74.5,2.433
24.8,810.8,70.2,6.38,31.2,5.5,73.5,2.2
27.8,689.7,73.1,5.69,26.7,48.1,70.9,2.611
30.9,838.0,87.0,6.9,28.4,41.7,39.8,2.528
25.0,437.1,72.4,6.04,43.7,37.0,84.9,2.69
29.5,1110.9,95.0,6.14,30.7,52.8,67.6,3.216
26.4,729.5,75.7,6.16,58.6,15.8,10.0,2.321
25.6,1029.3,52.4,6.95,74.7,56.2,172.1,2.899
27.7,835.7,77.5,5.55,33.4,44.0,133.6,2.695
24.9,864.2,73.8,7.5,49.8,26.5,74.9,2.553
26.3,892.4,82.9,6.82,55.0,47.0,90.8,3.059
24.4,861.9,76.7,6.49,54.4,13.4,43.1,2.649
33.9,910.7,68.6,6.38,46.5,17.6,157.8,2.863
28.1,1082.3,57.8,6.51,59.9,20.9,165.9,3.596
25.9,799.1,67.9,6.61,54.6,22.1,96.3,2.646
28.6,927.3,61.5,6.66,20.2,14.2,130.9,3.013
27.7,727.6,64.2,6.62,62.4,48.3,97.0,2.505
27.3,1110.0,75.9,6.44,62.7,26.1,36.5,3.105
29.8,580.9,86.7,6.32,29.7,35.3,73.5,2.511
30.3,1200.2,73.9,6.34,45.8,21.4,95.3,2.753
26.4,740.0,58.0,6.32,58.7,2.7,71.8,3.033
26.3,392.3,74.4,6.85,40.8,34.1,81.3,2.444
27.2,782.0,82.0,6.64,66.5,2.0,86.3,2.535
21.1,579.7,63.9,5.5,92.3,29.0,86.8,1.983
23.5,960.2,68.7,6.66,29.3,9.5,92.1,2.766
32.1,586.8,70.1,6.48,17.4,59.8,47.6,2.525
32.9,638.5,62.2,6.39,51.1,43.7,61.3,2.731
27.3,277.6,76.5,6.24,59.4,31.6,38.6,2.057
29.7,636.9,68.8,6.85,40.4,49.0,129.1,2.713
28.9,200.0,74.2,6.78,74.1,17.3,10.0,2.304
37.2,354.0,61.1,6.09,18.2,38.2,136.1,2.557
31.4,940.1,65.6,6.56,58.9,33.0,145.5,2.783
27.6,946.5,77.2,6.01,32.9,34.0,77.9,3.14
25.1,856.4,66.3,5.85,79.4,49.1,10.0,3.066
23.2,508.3,87.3,6.15,84.9,41.0,75.5,3.048
28.6,738.1,66.0,6.74,29.7,34.3,87.4,2.314
25.7,749.1,72.2,6.78,34.0,5.2,49.6,2.507
23.7,460.4,79.3,6.61,62.2,15.6,69.4,1.62
26.1,1125.8,55.8,6.69,37.3,28.2,151.2,3.196
24.8,969.3,52.4,6.61,44.1,31.4,116.6,2.682
33.1,694.8,54.7,6.14,45.5,13.0,53.0,3.118
30.6,756.7,82.6,6.57,6.6,66.2,26.1,2.432
28.0,802.1,64.5,6.72,44.7,52.7,76.9,2.28
32.4,239.6,95.0,6.7,31.2,39.0,81.5,1.999
28.2,688.2,64.4,6.88,35.1,31.1,109.8,2.051
25.4,579.5,71.8,6.68,73.9,26.8,68.6,2.558
32.6,499.6,85.4,6.54,19.9,15.7,110.5,1.898
29.6,679.7,90.1,6.83,61.3,31.2,167.4,2.696
24.9,1199.4,90.6,6.39,39.4,33.9,122.6,2.579
27.4,910.2,82.1,6.05,39.4,11.4,88.1,2.661
25.4,607.2,80.2,6.33,60.8,35.0,82.7,2.815
23.9,893.1,75.9,6.1,51.8,27.7,75.7,2.745
